INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	STRING
17	Copy_17	99	62	16	7	170	1160	1160	1160	17	1	20031	150	35	20032	150	36	20031	150	35	20032	150	36				20031	150	35	20033	190	37	20032	150	36	20032	150	36																			1	Script_17
18	Copy_18	99	70	17	7	180	1230	1230	1230	18	1	20034	148	38	20035	148	39	20034	148	38	20035	154	39				20034	148	38	20035	148	39	20036	200	40	20035	148	39	20034	148	38																3	Script_18
19	Copy_19	99	21600	18	60	190	1290	1290	1290	19	1	20038	195	175	20038	195	175	20037	195	174	20037	195	174				20037	195	174	20038	195	175	20039	240	176	20037	195	174	20038	195	175																1	Script_19
20	Copy_20	99	120	18	10	200	1350	1350	1350	20	1	20040	172	41	20041	172	42	20042	172	43	20040	176	41				20042	172	43	20040	172	41	20042	220	44	20041	172	42	20040	172	41																2	Script_20
21	Copy_21	99	180	20	10	210	1400	1400	1400	21	1	20043	190	45	20044	190	46	20043	190	45	20044	190	46				20043	190	45	20044	190	46	20043	190	45	20045	230	47	20044	190	46																1	Script_21
22	Copy_22	99	240	21	10	220	1470	1470	1470	22	1	20048	184	50	20046	184	48	20047	184	49	20048	184	50	20046	188	48	20046	184	48	20047	240	51	20048	184	50	20046	184	48	20047	184	49																2	Script_22
23	Copy_23	99	300	22	10	230	1540	1540	1540	23	1	20050	200	53	20049	200	52	20051	200	54	20050	200	53	20049	200	52	20049	200	52	20051	250	55	20050	200	53	20051	200	54	20049	200	52																1	Script_23
24	Copy_24	99	360	23	10	240	1600	1600	1600	24	1	20052	214	56	20053	214	57	20054	214	58	20052	214	56	20053	218	57	20052	214	56	20053	270	59	20054	214	58	20052	214	56	20054	214	58																1	Script_24
25	Copy_25	99	420	24	10	250	1660	1660	1660	25	1	20055	207	60	20056	207	61	20055	207	60							20057	207	62	20056	207	61	20055	207	60	20056	207	61				20057	207	62	20055	280	63	20056	207	61	20057	207	62				3	Script_25
26	Copy_26	99	43200	25	70	260	1730	1730	1730	26	1	20058	256	177	20059	256	178	20060	256	179							20059	256	178	20060	256	179	20058	256	177	20059	256	178				20058	256	177	20059	256	178	20058	256	177	20060	340	180				1	Script_26
27	Copy_27	99	480	25	15	270	1820	1820	1820	27	1	20061	225	64	20062	225	65	20063	225	66							20062	225	65	20063	225	66	20061	225	64	20062	225	65				20063	225	66	20062	225	65	20061	300	67	20062	225	65				3	Script_27
28	Copy_28	99	540	27	15	280	1860	1860	1860	28	1	20064	244	68	20065	244	69	20066	244	70							20066	244	70	20064	244	68	20065	244	69	20066	244	70				20065	244	69	20065	244	69	20064	310	71	20066	244	70				1	Script_28
29	Copy_29	99	600	28	15	290	1930	1930	1930	29	1	20068	239	73	20069	239	74	20069	240	74	20067	239	72				20068	239	73	20069	239	74	20067	239	72	20069	239	74				20067	239	77	20069	239	74	20068	320	75	20068	239	73				1	Script_29
30	Copy_30	99	660	29	15	300	2000	2000	2000	30	1	20070	275	76	20070	275	76	20071	275	77	20072	260	78				20070	255	76	20071	255	77	20072	255	78	20070	255	76				20070	255	76	20072	255	78	20071	340	79	20072	255	78				2	Script_30
31	Copy_31	99	720	30	15	310	2060	2060	2060	31	1	20073	292	80	20074	292	81	20075	292	82	20075	272	82				20075	272	82	20073	272	80	20074	272	81	20075	280	82				20074	272	81	20074	272	81	20073	350	83	20075	272	82				1	Script_31
32	Copy_32	99	780	31	15	320	2130	2130	2130	32	1	20076	285	84	20078	285	86	20078	285	86	20077	265	85				20076	265	84	20078	265	86	20078	265	86	20077	275	85				20076	265	84	20076	265	84	20077	360	87	20077	265	85	20078	265	86	1	Script_32
33	Copy_33	99	65800	32	80	330	2200	2200	2200	33	1	20080	332	182	20081	332	183	20079	332	181	20080	312	182				20079	312	181	20080	312	182	20081	312	183	20079	318	181				20079	312	181	20080	312	182	20081	312	183	20079	312	181	20081	500	184	2	Script_33
34	Copy_34	99	840	32	20	340	2260	2260	2260	34	1	20082	305	88	20082	305	88	20083	305	89	20084	285	90				20082	285	88	20082	285	88	20083	285	89	20084	285	90				20082	285	88	20083	285	89	20084	285	90	20083	285	91	20084	380	90	3	Script_34
35	Copy_35	99	900	34	20	350	2320	2320	2320	35	1	20085	332	92	20086	332	93	20087	332	94	20087	312	94				20085	312	92	20086	312	93	20087	312	94	20087	318	94				20085	312	92	20086	312	93	20086	312	93	20085	400	95	20087	312	94	2	Script_35
36	Copy_36	99	960	35	20	360	2400	2400	2400	36	1	20088	330	96	20088	330	96	20089	330	97	20089	300	97				20088	300	96	20088	300	96	20089	300	97	20089	300	97	20090	300	98	20088	300	96	20089	300	97	20089	400	99	20090	300	98	20090	300	98	1	Script_36
37	Copy_37	99	1020	36	20	370	2460	2460	2460	37	1	20091	347	100	20091	347	100	20092	347	101	20093	317	102				20092	317	101	20093	317	102	20091	317	100	20092	317	101	20093	326	102	20091	317	100	20092	317	101	20091	420	103	20093	317	102	20093	317	102	1	Script_37
38	Copy_38	99	1080	37	20	380	2530	2530	2530	38	1	20094	366	104	20094	366	104	20095	366	105	20096	336	106				20094	336	104	20094	336	104	20095	336	105	20096	336	106	20096	338	106	20094	336	104	20095	336	105	20095	336	105	20095	430	107	20096	336	106	2	Script_38
39	Copy_39	99	1140	38	20	390	2660	2660	2660	39	1	20097	359	108	20098	359	109	20099	359	110	20097	329	108	20098	329	109	20099	329	110	20097	329	108	20098	329	109	20099	329	110	20097	333	108	20097	329	108	20098	329	109	20099	329	110	20099	440	111	20097	329	108	2	Script_39
40	Copy_40	99	86400	39	90	400	2730	2730	2730	40	1	20100	408	185	20101	408	186	20102	408	187	20100	378	185	20101	378	186	20102	378	187	20101	378	186	20102	378	187	20100	378	185	20101	386	186	20102	378	187	20101	378	186	20102	378	187	20100	550	188	20100	378	185	3	Script_40
41	Copy_41	99	1200	39	25	410	2800	2800	2800	41	1	20103	376	112	20104	376	113	20105	376	114	20103	346	112	20104	346	113	20104	346	113	20105	346	114	20103	346	112	20104	346	113	20105	352	114	20105	346	114	20103	346	112	20104	346	113	20103	450	115	20105	346	114	1	Script_41
42	Copy_42	99	1260	41	25	420	2860	2860	2860	42	1	20108	393	118	20107	393	117	20106	393	116	20108	363	118	20107	363	117	20106	363	116	20108	363	118	20107	363	117	20106	363	116	20108	371	118	20107	363	117	20106	363	116	20106	460	119	20108	363	118	20107	363	117	2	Script_42
43	Copy_43	99	1320	42	25	430	2930	2930	2930	43	1	20109	410	120	20110	410	121	20110	410	121	20111	380	122	20109	380	120	20110	380	121	20111	380	122	20109	380	120	20110	380	121	20111	390	122	20111	380	122	20109	380	120	20109	470	123	20110	380	121	20111	380	122	2	Script_43
44	Copy_44	99	1380	43	25	440	3000	3000	3000	44	1	20114	427	126	20112	427	124	20112	427	124	20113	397	125	20114	397	126	20114	397	126	20112	397	124	20113	397	125	20113	397	125	20114	409	126	20112	397	124	20113	397	124	20113	480	127	20114	397	126	20113	397	125	1	Script_44
45	Copy_45	99	1440	44	25	450	3060	3060	3060	45	1	20115	455	128	20116	455	129	20116	455	129	20117	415	130	20115	415	128	20116	415	128	20115	415	128	20116	415	129	20117	415	130	20117	415	130	20115	415	128	20116	415	129	20117	415	130	20115	490	131	20115	415	128	3	Script_45
46	Copy_46	99	1500	45	25	460	3130	3130	3130	46	1	20118	487	132	20118	487	132	20119	487	133	20120	427	134	20119	427	133	20118	427	132	20119	427	133	20119	427	133	20120	427	134	20118	439	132	20118	427	132	20119	427	133	20119	427	133	20120	510	135	20120	427	134	1	Script_46
47	Copy_47	99	86400	46	120	470	3200	3200	3200	47	1	20121	522	189	20122	522	190	20123	522	191	20121	492	189	20122	492	190	20122	492	190	20123	492	191	20121	492	189	20122	492	190	20123	504	191	20123	492	191	20121	492	189	20123	492	191	20122	492	190	20123	600	192	3	Script_47
48	Copy_48	99	1560	46	30	480	3260	3260	3260	48	1	20124	557	136	20124	557	136	20125	557	137	20126	447	138	20125	447	137	20124	447	136	20125	447	137	20126	447	138	20126	447	138	20124	459	136	20124	447	136	20124	447	136	20125	447	138	20125	530	139	20126	447	138	1	Script_48
49	Copy_49	99	1620	48	30	490	3330	3330	3330	49	1	20127	587	140	20128	587	141	20128	587	141	20129	467	142	20127	467	140	20128	467	141	20127	467	142	20128	467	141	20129	467	142	20129	479	142	20127	467	140	20127	550	143	20128	467	141	20128	467	141	20129	467	142	2	Script_49
50	Copy_50	99	1680	49	30	500	3400	3400	3400	50	1	20130	617	144	20131	617	145	20132	617	146	20132	487	146	20130	487	144	20130	487	144	20131	487	145	20131	487	145	20132	487	146	20132	499	146	20130	487	144	20131	487	145	20130	570	147	20132	487	146	20131	487	145	2	Script_50
51	Copy_51	99	1740	50	30	510	3460	3460	3460	51	1	20133	647	148	20133	647	148	20135	647	150	20134	507	149	20135	507	150	20133	507	148	20133	507	148	20135	507	150	20134	507	149	20134	519	149	20133	507	148	20134	507	149	20134	507	149	20135	590	151	20135	507	150	1	Script_51
52	Copy_52	99	1800	51	30	520	3520	3520	3520	52	1	20136	677	152	20137	677	153	20138	677	154	20136	527	152	20138	527	154	20136	527	152	20137	527	153	20138	527	154	20137	527	154	20136	539	152	20136	527	152	20137	527	153	20138	527	154	20138	610	155	20137	527	153	1	Script_52
53	Copy_53	99	86400	52	160	530	3580	3580	3580	53	1	20139	707	156	20140	707	157	20141	707	158	20140	547	157	20139	547	156	20139	547	156	20140	547	157	20141	547	158	20140	547	157	20141	559	158	20139	547	156	20141	547	158	20141	547	158	20139	630	159	20140	547	157	3	Script_53
54	Copy_54	99	1860	52	35	540	3640	3640	3640	54	1	20142	735	193	20143	735	194	20144	735	195	20142	645	193	20143	645	194	20143	645	194	20144	645	195	20142	645	193	20144	645	195	20142	645	193	20144	645	195	20142	645	193	20143	645	194	20144	645	195	20143	770	196	3	Script_54
55	Copy_55	99	1920	54	35	550	3700	3700	3700	55	1	20145	764	160	20145	764	160	20146	764	161	20147	574	162	20147	574	162	20145	574	160	20145	574	160	20146	574	161	20146	574	161	20147	578	162	20145	574	160	20146	574	161	20146	574	161	20147	660	163	20147	574	162	2	Script_55
56	Copy_56	99	12000	55	200	560	60000	60000	60000	56	1	20148	797	164	20148	797	164	20149	797	165	20150	607	166	20150	607	166	20148	607	164	20148	607	164	20149	607	165	20149	607	165	20150	609	166	20148	607	164	20149	607	165	20150	607	166	20149	700	167	20150	607	166	2	Script_56
