INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT
20036	0	Troop_20036	3	0	0	0	0	0	47	11	3	7	3	0	0	0	21
20037	0	Troop_20037	1	0	0	0	0	0	41	11	7	7	3	0	0	0	30
20038	0	Troop_20038	3	0	0	0	0	0	41	12	3	7	3	0	0	0	23
20039	0	Troop_20039	2	0	0	0	0	0	41	11	6	8	4	0	0	0	26
20040	0	Troop_20040	3	0	0	0	0	0	51	12	3	8	4	0	0	0	15
20041	0	Troop_20041	2	0	0	0	0	0	51	11	6	8	4	0	0	0	26
20042	0	Troop_20042	1	0	0	0	0	0	51	11	7	8	4	0	0	0	17
20043	0	Troop_20043	1	0	0	0	0	0	55	12	7	8	4	0	0	0	43
20044	0	Troop_20044	2	0	0	0	0	0	55	12	8	8	4	0	0	0	44
20045	0	Troop_20045	3	0	0	0	0	0	55	13	3	8	4	0	0	0	42
20046	0	Troop_20046	2	0	0	0	0	0	59	12	8	8	4	0	0	0	14
20047	0	Troop_20047	3	0	0	0	0	0	59	13	4	9	4	0	0	0	21
20048	0	Troop_20048	1	0	0	0	0	0	59	12	8	9	4	0	0	0	37
20049	0	Troop_20049	3	0	0	0	0	0	63	14	4	9	4	0	0	0	13
20050	0	Troop_20050	1	0	0	0	0	0	63	13	8	9	4	0	0	0	1
20051	0	Troop_20051	2	0	0	0	0	0	63	13	8	9	4	0	0	0	14
20052	0	Troop_20052	1	0	0	0	0	0	67	13	8	9	4	0	0	0	17
20053	0	Troop_20053	3	0	0	0	0	0	67	14	4	9	4	0	0	0	22
20054	0	Troop_20054	2	0	0	0	0	0	67	13	8	9	4	0	0	0	26
20055	0	Troop_20055	1	0	0	0	0	0	71	14	8	9	4	0	0	0	17
20056	0	Troop_20056	3	0	0	0	0	0	71	15	4	9	4	0	0	0	18
20057	0	Troop_20057	2	0	0	0	0	0	71	14	8	10	5	0	0	0	26
20058	0	Troop_20058	1	0	0	0	0	0	61	14	8	10	5	0	0	0	17
20059	0	Troop_20059	3	0	0	0	0	0	61	15	4	10	5	0	0	0	22
20060	0	Troop_20060	2	0	0	0	0	0	61	14	8	10	5	0	0	0	27
20061	0	Troop_20061	1	0	0	0	0	0	75	15	9	10	5	0	0	0	28
20062	0	Troop_20062	3	0	0	0	0	0	75	16	4	10	5	0	0	0	24
20063	0	Troop_20063	2	0	0	0	0	0	75	15	8	10	5	0	0	0	26
20064	0	Troop_20064	2	0	0	0	0	0	79	15	8	10	5	0	0	0	26
20065	0	Troop_20065	1	0	0	0	0	0	79	15	9	10	5	0	0	0	29
20066	0	Troop_20066	3	0	0	0	0	0	79	16	4	10	5	0	0	0	13
20067	0	Troop_20067	3	0	0	0	0	0	83	17	4	11	6	0	0	0	24
20068	0	Troop_20068	1	0	0	0	0	0	83	16	9	11	6	0	0	0	29
20069	0	Troop_20069	2	0	0	0	0	0	83	16	10	11	6	0	0	0	26
20070	0	Troop_20070	1	0	0	0	0	0	87	16	10	11	6	0	0	0	1
20071	0	Troop_20071	3	0	0	0	0	0	87	17	5	11	6	0	0	0	21
20072	0	Troop_20072	2	0	0	0	0	0	87	16	10	11	6	0	0	0	14
20073	0	Troop_20073	1	0	0	0	0	0	91	17	10	11	6	0	0	0	28
20074	0	Troop_20074	2	0	0	0	0	0	91	17	10	11	6	0	0	0	26
20075	0	Troop_20075	3	0	0	0	0	0	91	18	5	11	6	0	0	0	15
20076	0	Troop_20076	1	0	0	0	0	0	95	17	10	11	6	0	0	0	25
20077	0	Troop_20077	3	0	0	0	0	0	95	18	5	12	7	0	0	0	23
20078	0	Troop_20078	2	0	0	0	0	0	95	17	10	12	7	0	0	0	26
20079	0	Troop_20079	1	0	0	0	0	0	85	18	11	12	7	0	0	0	12
20080	0	Troop_20080	2	0	0	0	0	0	85	18	10	12	7	0	0	0	7
20081	0	Troop_20081	3	0	0	0	0	0	85	19	5	12	7	0	0	0	23
20082	0	Troop_20082	3	0	0	0	0	0	99	19	5	12	7	0	0	0	42
20083	0	Troop_20083	1	0	0	0	0	0	99	18	11	12	7	0	0	0	32
20084	0	Troop_20084	2	0	0	0	0	0	99	18	10	12	7	0	0	0	44
20085	0	Troop_20085	1	0	0	0	0	0	103	19	11	12	7	0	0	0	38
20086	0	Troop_20086	2	0	0	0	0	0	103	19	10	12	7	0	0	0	14
20087	0	Troop_20087	3	0	0	0	0	0	103	20	5	12	7	0	0	0	21
20088	0	Troop_20088	1	0	0	0	0	0	107	19	11	13	8	0	0	0	17
20089	0	Troop_20089	2	0	0	0	0	0	107	19	10	13	8	0	0	0	26
20090	0	Troop_20090	3	0	0	0	0	0	107	20	6	13	8	0	0	0	15
20091	0	Troop_20091	1	0	0	0	0	0	111	20	12	13	8	0	0	0	17
20092	0	Troop_20092	2	0	0	0	0	0	111	20	12	13	8	0	0	0	26
20093	0	Troop_20093	3	0	0	0	0	0	111	21	6	13	8	0	0	0	22
20094	0	Troop_20094	1	0	0	0	0	0	115	20	12	13	8	0	0	0	12
20095	0	Troop_20095	2	0	0	0	0	0	115	20	12	13	8	0	0	0	27
20096	0	Troop_20096	3	0	0	0	0	0	115	21	6	13	8	0	0	0	13
20097	0	Troop_20097	3	0	0	0	0	0	119	22	6	13	8	0	0	0	42
20098	0	Troop_20098	1	0	0	0	0	0	119	21	12	13	8	0	0	0	35
20099	0	Troop_20099	2	0	0	0	0	0	119	21	12	13	8	0	0	0	45
20100	0	Troop_20100	1	0	0	0	0	0	107	21	13	14	9	0	0	0	
20101	0	Troop_20101	2	0	0	0	0	0	107	21	12	14	9	0	0	0	
20102	0	Troop_20102	3	0	0	0	0	0	107	22	6	14	9	0	0	0	41
20103	0	Troop_20103	3	0	0	0	0	0	123	23	6	14	9	0	0	0	20
20104	0	Troop_20104	2	0	0	0	0	0	123	22	12	14	9	0	0	0	16
20105	0	Troop_20105	1	0	0	0	0	0	123	22	13	14	9	0	0	0	12
20106	0	Troop_20106	3	0	0	0	0	0	127	23	6	14	9	0	0	0	23
20107	0	Troop_20107	2	0	0	0	0	0	127	22	12	14	9	0	0	0	16
20108	0	Troop_20108	1	0	0	0	0	0	127	23	13	14	9	0	0	0	29
20109	0	Troop_20109	1	0	0	0	0	0	131	23	14	14	9	0	0	0	39
20110	0	Troop_20110	2	0	0	0	0	0	131	23	12	14	9	0	0	0	14
20111	0	Troop_20111	3	0	0	0	0	0	131	24	7	14	9	0	0	0	23
20112	0	Troop_20112	3	0	0	0	0	0	135	24	7	14	9	0	0	0	13
20113	0	Troop_20113	1	0	0	0	0	0	135	24	14	15	10	0	0	0	29
20114	0	Troop_20114	2	0	0	0	0	0	135	24	14	15	10	0	0	0	26
20115	0	Troop_20115	1	0	0	0	0	0	139	24	14	15	10	0	0	0	30
20116	0	Troop_20116	2	0	0	0	0	0	139	24	14	15	10	0	0	0	26
20117	0	Troop_20117	3	0	0	0	0	0	139	25	7	15	10	0	0	0	22
20118	0	Troop_20118	1	0	0	0	0	0	143	25	14	15	10	0	0	0	19
20119	0	Troop_20119	3	0	0	0	0	0	143	26	7	15	10	0	0	0	21
20120	0	Troop_20120	2	0	0	0	0	0	143	25	14	15	10	0	0	0	26
20121	0	Troop_20121	1	0	0	0	0	0	132	25	15	15	10	0	0	0	43
20122	0	Troop_20122	2	0	0	0	0	0	132	25	14	15	10	0	0	0	44
20123	0	Troop_20123	3	0	0	0	0	0	132	27	7	15	10	0	0	0	42
20124	0	Troop_20124	3	0	0	0	0	0	147	27	7	15	10	0	0	0	20
20125	0	Troop_20125	2	0	0	0	0	0	147	26	14	15	10	0	0	0	16
20126	0	Troop_20126	1	0	0	0	0	0	147	26	15	15	11	0	0	0	12
20127	0	Troop_20127	1	0	0	0	0	0	151	26	15	16	11	0	0	0	17
20128	0	Troop_20128	2	0	0	0	0	0	151	27	14	16	11	0	0	0	26
20129	0	Troop_20129	3	0	0	0	0	0	151	28	8	16	11	0	0	0	18
20130	0	Troop_20130	3	0	0	0	0	0	155	28	8	16	11	0	0	0	20
20131	0	Troop_20131	1	0	0	0	0	0	155	27	16	16	11	0	0	0	40
20132	0	Troop_20132	2	0	0	0	0	0	155	27	14	16	11	0	0	0	16
20133	0	Troop_20133	3	0	0	0	0	0	159	29	8	16	11	0	0	0	13
20134	0	Troop_20134	1	0	0	0	0	0	159	28	16	16	11	0	0	0	3
20135	0	Troop_20135	2	0	0	0	0	0	159	28	16	16	11	0	0	0	14
20136	0	Troop_20136	1	0	0	0	0	0	163	28	16	16	11	0	0	0	17
20137	0	Troop_20137	2	0	0	0	0	0	163	28	16	16	11	0	0	0	27
20138	0	Troop_20138	3	0	0	0	0	0	163	30	8	16	12	0	0	0	23
20139	0	Troop_20139	1	0	0	0	0	0	167	29	17	16	12	0	0	0	31
20140	0	Troop_20140	2	0	0	0	0	0	167	29	16	17	12	0	0	0	26
20141	0	Troop_20141	3	0	0	0	0	0	167	30	8	17	12	0	0	0	23
20142	0	Troop_20142	1	0	0	0	0	0	150	29	17	17	12	0	0	0	
20143	0	Troop_20143	2	0	0	0	0	0	150	30	16	17	12	0	0	0	
20144	0	Troop_20144	3	0	0	0	0	0	150	31	8	17	12	0	0	0	41
20145	0	Troop_20145	1	0	0	0	0	0	171	30	17	17	12	0	0	0	3
20146	0	Troop_20146	2	0	0	0	0	0	171	30	16	17	12	0	0	0	7
20147	0	Troop_20147	3	0	0	0	0	0	171	31	8	17	12	0	0	0	23
20148	0	Troop_20148	3	0	0	0	0	0	175	34	9	17	12	0	0	0	20
20149	0	Troop_20149	2	0	0	0	0	0	175	33	18	17	12	0	0	0	7
20150	0	Troop_20150	1	0	0	0	0	0	175	33	18	17	12	0	0	0	40
20151	0	Troop_20151	2	0	0	0	0	0	9	4	6	2	2	0	0	0	26
20152	0	Troop_20152	1	0	0	0	0	0	13	5	5	2	1	0	0	0	36
20153	0	Troop_20153	1	0	0	0	0	0	20	6	5	2	1	0	0	0	33
100000	0	Troop_100000	1	0	0	0	0	0	0	4	3	3	1	0	0	0	40
100001	0	Troop_100001	2	0	0	0	0	0	0	4	3	2	1	0	0	0	6
100002	0	Troop_100002	1	0	0	0	0	0	0	3	1	2	1	0	0	0	4
100003	0	Troop_100003	3	0	0	0	0	0	0	2	2	1	1	0	0	0	10
100004	0	Troop_100004	3	0	0	0	0	0	0	4	2	1	1	0	0	0	20
100005	0	Troop_100005	3	0	0	0	0	0	0	4	2	1	1	0	0	0	9
100006	0	Troop_100006	1	0	0	0	0	0	0	4	2	2	1	0	0	0	3
100007	0	Troop_100007	2	0	0	0	0	0	0	3	3	2	1	0	0	0	7
100008	0	Troop_100008	2	0	0	0	0	0	0	2	3	1	1	0	0	0	5
100009	0	Troop_100009	1	0	0	0	0	0	0	3	1	2	1	0	0	0	38
100010	0	Troop_100010	3	0	0	0	0	0	0	5	5	2	1	0	0	0	41
