INT	INT	INT	STRING	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT	INT								
40	1	0	Equip_40	Lionheart_Warhammer	2	14	130	0	53	0	1	0	0	0	0	0	6	0	0	0	0	0	0	0
41	1	0	Equip_41	Sword_of_Courage	3	14	130	0	0	55	0	0	0	0	0	0	0	6	0	0	0	0	0	0
42	1	1	Equip_42	Lionheart_Helm	2	14	130	0	0	0	4	0	0	1	0	1	0	0	0	0	0	1	0	1
43	1	1	Equip_43	Helm_of_Courage	3	14	130	0	0	0	4	0	0	1	1	0	0	0	0	0	0	1	1	0
44	1	2	Equip_44	Lionheart_Armor	2	14	130	0	0	0	11	0	0	0	0	0	6	6	0	0	0	0	0	0
45	1	2	Equip_45	Armor_of_Courage	3	14	130	0	0	0	0	11	0	0	0	0	6	6	0	0	0	0	0	0
46	1	3	Equip_46	Lionheart_Boots	2	14	130	0	10	0	0	0	260	0	0	0	2	0	0	0	50	0	0	0
47	1	3	Equip_47	Boots_of_Courage	3	14	130	0	0	10	0	0	260	0	0	0	0	2	0	0	50	0	0	0
48	0	0	Equip_48	Beheading_Axe	0	15	160	0	45	0	0	1	0	0	0	0	7	0	0	0	0	0	0	0
49	0	0	Equip_49	Warhammer_gravel	0	15	160	0	45	0	1	0	0	0	0	0	7	0	0	0	0	0	0	0
50	0	1	Equip_50	Steel_Helmet	0	15	160	0	0	0	2	0	0	0	1	1	0	0	0	0	0	0	1	1
51	0	2	Equip_51	Steel_Armor	0	15	160	0	0	0	10	0	0	0	0	0	7	7	0	0	0	0	0	0
52	0	3	Equip_52	Steel_Boots	0	15	160	0	0	8	0	0	200	0	0	0	0	2	0	0	45	0	0	0
53	0	0	Equip_53	Legion_Sword	0	17	160	0	55	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0
54	0	0	Equip_54	Squire_Staff	0	17	160	0	0	55	0	0	0	0	0	0	0	7	0	0	0	0	0	0
55	0	1	Equip_55	Legion_Helmet	0	17	160	0	0	0	0	4	0	1	1	0	0	0	0	0	0	1	1	0
56	0	2	Equip_56	Legion_Armor	0	17	160	0	0	0	0	11	0	0	0	0	7	7	0	0	0	0	0	0
57	0	3	Equip_57	Legion_Boots	0	17	160	0	9	0	0	0	230	0	0	0	3	0	0	0	45	0	0	0
58	1	0	Equip_58	Yew_longbow	0	19	180	0	61	61	0	0	0	0	0	0	8	8	0	0	0	0	0	0
59	1	0	Equip_59	Ranger_Scimitar	0	19	180	0	63	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0
60	1	1	Equip_60	Ranger_Helmet	0	19	180	0	0	0	6	0	0	0	1	1	0	0	0	0	0	0	1	1
61	1	2	Equip_61	Ranger_Armor	0	19	180	0	0	0	12	0	0	0	0	0	8	8	0	0	0	0	0	0
62	1	3	Equip_62	Ranger_Boots	0	19	180	0	0	10	0	0	250	0	0	0	0	3	0	0	50	0	0	0
63	1	0	Equip_63	Knight_Warhammer	0	21	180	0	69	0	1	0	0	0	0	0	8	0	0	0	0	0	0	0
64	1	0	Equip_64	Aphelion_Staff	0	21	180	0	0	72	0	0	0	0	0	0	0	8	0	0	0	0	0	0
65	1	1	Equip_65	Expedition_Helmet	0	21	180	0	0	0	0	8	0	1	1	0	0	0	0	0	0	1	1	0
66	1	2	Equip_66	Expedition_Armor	0	21	180	0	0	0	0	13	0	0	0	0	8	8	0	0	0	0	0	0
67	1	3	Equip_67	Expedition_Boots	0	21	180	0	11	0	0	0	280	0	0	0	3	0	0	0	55	0	0	0
68	1	0	Equip_68	Glyph_Axe	0	23	210	0	77	0	0	1	0	0	0	0	9	0	0	0	0	0	0	0
69	1	0	Equip_69	Guardian_Sword	0	23	210	0	79	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
70	1	1	Equip_70	Guardian_Helmet	0	23	210	0	0	0	10	0	0	1	0	1	9	9	0	0	0	0	0	0
71	1	2	Equip_71	Guardian_Armor	0	23	210	0	0	0	14	0	0	0	0	0	9	9	0	0	0	0	0	0
72	1	3	Equip_72	Guardian_Boots	0	23	210	0	0	12	0	0	300	0	0	0	0	3	0	0	60	0	0	0
73	2	0	Equip_73	Pirate_Machete	4	24	210	0	97	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0
74	2	0	Equip_74	Treasure_Staff	5	24	210	0	0	97	0	0	0	0	0	0	0	9	0	0	0	0	0	0
75	2	1	Equip_75	Pirate_Helmet	4	24	210	0	0	0	4	0	0	2	2	0	9	9	0	0	0	0	0	0
76	2	1	Equip_76	Treasure_Helmet	5	24	210	0	0	0	0	4	0	2	0	2	9	9	0	0	0	0	0	0
77	2	2	Equip_77	Pirate_Armor	4	24	210	0	2	0	16	0	0	0	0	0	10	0	0	0	0	0	0	0
78	2	2	Equip_78	Treasure_Armor	5	24	210	0	0	2	0	16	0	0	0	0	0	10	0	0	0	0	0	0
79	2	3	Equip_79	Pirate_Boots	4	24	210	0	14	0	0	0	330	0	0	0	4	0	0	0	65	0	0	0
80	2	3	Equip_80	Treasure_Boots	5	24	210	0	0	14	0	0	330	0	0	0	0	4	0	0	65	0	0	0
81	1	0	Equip_81	Eagle_Sword	0	25	230	0	88	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
82	1	0	Equip_82	Dexterity_Bow	0	25	230	0	85	85	0	0	0	0	0	0	10	10	0	0	0	0	0	0
83	1	1	Equip_83	Eagle_Helmet	0	25	230	0	0	0	2	0	0	2	0	2	0	0	0	0	0	2	0	2
84	1	2	Equip_84	Eagle_Armor	0	25	230	0	1	0	15	0	0	0	0	0	10	0	0	0	0	0	0	0
85	1	3	Equip_85	Eagle_Boots	0	25	230	0	13	0	0	0	330	0	0	0	4	0	0	0	65	0	0	0
86	1	0	Equip_86	Warhammer_Glory	0	27	230	0	94	0	1	0	0	0	0	0	10	0	0	0	0	0	0	0
87	1	0	Equip_87	Crystal_Staff	0	27	230	0	0	97	0	0	0	0	0	0	0	10	0	0	0	0	0	0
88	1	1	Equip_88	Silver_Helmet	0	27	230	0	0	0	0	4	0	2	2	0	0	0	0	0	0	2	2	0
89	1	2	Equip_89	Silver_Armor	0	27	230	0	0	2	0	16	0	0	0	0		11	0	0	0	0	0	0
90	1	3	Equip_90	Silver_Boots	0	27	230	0	0	14	0	0	330	0	0	0	0	4	0	0	65	0	0	0
91	1	0	Equip_91	Glyph_Staff	0	29	260	0	0	106	0	0	0	0	0	0	0	11	0	0	0	0	0	0
92	1	0	Equip_92	Needle_Sword	0	29	260	0	106	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0
93	1	1	Equip_93	Glyph_Helmet	0	29	260	0	0	0	6	0	0	2	0	0	0	0	0	0	0	2	0	0
94	1	2	Equip_94	Glyph_Armor	0	29	260	0	3	0	17	0	0	0	0	0	11	0	0	0	0	0	0	0
95	1	3	Equip_95	Glyph_Boots	0	29	260	0	15	0	0	0	350	0	0	0	5	0	0	0	70	0	0	0
96	1	0	Equip_96	Whisper_Bow	0	31	260	0	113	113	0	0	0	0	0	0	11	11	0	0	0	0	0	0
97	1	0	Equip_97	Staff_of_Time	0	31	260	0	0	116	0	0	0	0	0	0	0	11	0	0	0	0	0	0
98	1	1	Equip_98	Oath_Helmet	0	31	260	0	0	0	0	4	0	0	3	3	0	0	0	0	0	0	2	2
99	1	2	Equip_99	Oath_Armor	0	31	260	0	0	4	0	18	0	0	0	0	0	12	0	0	0	0	0	0
100	1	3	Equip_100	Oath_Boots	0	31	260	0	0	13	0	0	370	0	0	0	0	5	0	0	70	0	0	0
101	2	0	Equip_101	Broadsword_of_Blood_and_iron	6	32	280	0	135	0	0	0	0	1	0	0	5	0	0	0	0	1	0	0
102	2	0	Equip_102	Overlord_Tomahawk	7	32	280	0	0	132	0	2	0	0	1	0	0	5	0	0	0	0	1	0
103	2	1	Equip_103	Helmet_of_Blood_and_iron	6	32	280	0	0	0	8	0	0	4	0	4	0	0	0	0	0	2	0	2
104	2	1	Equip_104	Overlord_Helmet	7	32	280	0	0	0	0	8	0	4	4	0	0	0	0	0	0	2	2	0
105	2	2	Equip_105	Armor_of_Blood_and_iron	6	32	280	0	6	0	20	0	0	0	0	0	12	0	0	0	0	0	0	0
106	2	2	Equip_106	Overlord_Armor	7	32	280	0	0	6	0	20	0	0	0	0	0	12	0	0	0	0	0	0
107	2	3	Equip_107	Boots_of_Blood_and_iron	6	32	280	0	15	0	0	0	410	0	0	0	6	0	0	0	75	0	0	0
108	2	3	Equip_108	Overlord_Boots	7	32	280	0	0	15	0	0	410	0	0	0	0	6	0	0	75	0	0	0
109	1	0	Equip_109	Commander_Axe	0	33	280	0	121	0	0	2	0	0	0	1	6	0	0	0	0	0	0	1
110	1	0	Equip_110	Elder_Staff	0	33	280	0	0	126	0	0	0	1	0	0	0	6	0	0	0	1	0	0
111	1	1	Equip_111	Commander_Helmet	0	33	280	0	0	0	0	6	0	0	3	3	0	0	0	0	0	0	3	3
112	1	2	Equip_112	Commander_Armor	0	33	280	0	5	0	19	0	0	0	0	0	12	0	0	0	0	0	0	0
113	1	3	Equip_113	Commander_Boots	0	33	280	0	14	0	0	0	390	0	0	0	6	0	0	0	70	0	0	0
114	1	0	Equip_114	Meteor_Hammer	0	35	300	0	131	0	2	0	0	0	1	0	7	0	0	0	0	0	1	0
115	1	0	Equip_115	Noble_Sword	0	35	300	0	136	0	0	0	0	0	0	1	7	0	0	0	0	0	0	1
116	1	1	Equip_116	Gold_plated_Helmet	0	35	300	0	0	0	8	0	0	4	0	4	0	0	1	0	0	2	0	2
117	1	2	Equip_117	Gold_plated_Armor	0	35	300	0	0	6	0	20	0	0	0	0	0	13	0	0	0	0	0	0
118	1	3	Equip_118	Gold_plated_Boots	0	35	300	0	0	15	0	0	410	0	0	0	0	6	0	0	75	0	0	0
119	1	0	Equip_119	Bloodthirsty_Axe	0	37	300	0	141	0	2	0	0	2	0	0	8	0	0	0	0	2	0	0
120	1	0	Equip_120	Volcanic_Hammer	0	37	300	0	142	0	0	2	0	0	2	0	8	0	0	0	0	0	2	0
121	1	1	Equip_121	Mountain_Helmet	0	37	300	0	0	0	0	10	0	5	5	0	0	0	0	0	0	3	3	0
122	1	2	Equip_122	Mountain_Armor	0	37	300	0	7	0	21	0	0	0	0	0	14	0	0	0	0	0	0	0
123	1	3	Equip_123	Mountain_Boots	0	37	300	0	16	0	0	0	430	0	0	0	7	0	0	0	80	0	0	0
124	2	0	Equip_124	Dawn_Bow	8	38	325	0	163	163	0	0	0	0	0	3	8	8	0	0	0	0	0	2
125	2	0	Equip_125	Shining_Silver_Staff	9	38	325	0	0	166	0	0	0	3	0	0	0	8	0	0	0	2	0	0
126	2	0	Equip_126	Warhammer_Dusk	10	38	325	0	161	0	2	0	0	0	3	0	8	0	0	0	0	0	2	0
127	2	1	Equip_127	Dawn_Helmet	8	38	325	0	0	0	14	0	0	0	7	7	0	0	1	0	0	0	3	3
128	2	1	Equip_128	Shining_Silver_Helmet	9	38	325	0	0	0	0	14	0	7	0	7	0	0	0	1	0	3	0	3
129	2	1	Equip_129	Helmet_Dusk	10	38	325	0	0	0	14	0	0	7	7	0	0	0	1	0	0	3	3	0
130	2	2	Equip_130	Dawn_Armor	8	38	325	0	9	0	23	0	0	0	0	0	15	0	0	0	0	0	0	0
131	2	2	Equip_131	Shining_Silver_Armor	9	38	325	0	0	9	0	23	0	0	0	0	0	15	0	0	0	0	0	0
132	2	2	Equip_132	Armor_Dusk	10	38	325	0	9	0	23	0	0	0	0	0	15	0	0	0	0	0	0	0
133	2	3	Equip_133	Dawn_Boots	8	38	325	0	18	0	0	0	470	0	0	0	8	0	0	0	85	0	0	0
134	2	3	Equip_134	Shining_Silver_Boots	9	38	325	0	0	18	0	0	470	0	0	0	0	8	0	0	85	0	0	0
135	2	3	Equip_135	Boots_Dusk	10	38	325	0	18	0	0	0	470	0	0	0	8	0	0	0	85	0	0	0
136	1	0	Equip_136	Poseidon_Staff	0	39	325	0	0	156	0	0	0	0	0	2	0	9	0	0	0	0	0	2
137	1	0	Equip_137	Captain_Sabre	0	39	325	0	156	0	0	0	0	3	0	0	9	0	0	0	0	2	0	0
138	1	1	Equip_138	Captain_Helmet	0	39	325	0	0	0	0	12	0	0	6	6	0	0	0	1	0	0	3	3
139	1	2	Equip_139	Captain_Armor	0	39	325	0	0	8	22	0	0	0	0	0	0	16	0	0	0	0	0	0
140	1	3	Equip_140	Captain_Boots	0	39	325	0	0	17	0	0	450	0	0	0	0	8	0	0	85	0	0	0
141	1	0	Equip_141	Mithril_Hammer	0	41	350	0	162	0	2	0	0	0	3	0	10	0	0	0	0	0	2	0
142	1	0	Equip_142	Mithril_Axe	0	41	350	0	163	0	0	2	0	0	0	3	10	0	0	0	0	0	0	2
143	1	1	Equip_143	Mithril_Helmet	0	41	350	0	0	0	14	0	0	7	7	0	0	0	1	0	0	4	4	0
144	1	2	Equip_144	Mithril_Armor	0	41	350	0	9	0	0	23	0	0	0	0	17	0	0	1	0	0	0	0
145	1	3	Equip_145	Mithril_Boots	0	41	350	0	18	0	0	0	470	0	0	0	8	0	0	0	90	0	0	0
146	1	0	Equip_146	Storm_Hammer	0	43	350	0	172	0	2	0	0	4	0	0	10	0	0	0	0	2	0	0
147	1	0	Equip_147	Hurricane_Staff	0	43	350	0	0	177	0	0	0	0	4	0	0	10	0	0	0	0	2	0
148	1	1	Equip_148	Storm_Helm	0	43	350	0	0	0	0	16	0	8	0	8	0	0	0	0	0	4	0	4
149	1	2	Equip_149	Storm_Armor	0	43	350	0	0	10	24	0	0	0	0	0	0	17	0	0	0	0	0	0
150	1	3	Equip_150	Storm_Boots	0	43	350	0	0	19	0	0	490	0	0	0	0	9	0	0	95	0	0	0
151	2	0	Equip_151	Warhammer_Ashes	11	44	375	0	194	0	2	0	0	0	5	0	11	0	0	0	0	0	3	0
152	2	0	Equip_152	Dragonslayer_Bow	12	44	375	0	196	196	0	0	0	5	0	0	11	11	0	0	0	3	0	0
153	2	0	Equip_153	Dragonbreath_Staff	13	44	375	0	0	199	0	0	0	0	0	5	0	11	0	0	0	0	0	3
154	2	1	Equip_154	Ashes_Helmet	11	44	375	0	0	0	20	0	0	0	10	10	0	0	1	0	0	0	5	5
155	2	1	Equip_155	Dragonslayer_Helmet	12	44	375	0	0	0	0	20	0	10	0	10	0	0	0	1	0	5	0	5
156	2	1	Equip_156	Dragonbreath_Helmet	13	44	375	0	0	0	20	0	0	10	10	0	0	0	1	0	0	5	5	0
157	2	2	Equip_157	Ashes_Armor	11	44	375	0	0	0	27	2	0	0	0	0	0	0	5	1	0	0	0	0
158	2	2	Equip_158	Dragonslayer_Armor	12	44	375	0	0	0	2	27	0	0	0	0	0	0	1	5	0	0	0	0
159	2	2	Equip_159	Dragonbreath_Armor	13	44	375	0	0	0	27	2	0	0	0	0	0	0	5	1	0	0	0	0
160	2	3	Equip_160	Ashes_Boots	11	44	375	0	21	0	0	0	530	0	0	0	10	0	0	0	100	0	0	0
161	2	3	Equip_161	Dragonslayer_Boots	12	44	375	0	0	21	0	0	530	0	0	0	0	10	0	0	100	0	0	0
162	2	3	Equip_162	Dragonbreath_Boots	13	44	375	0	21	0	0	0	530	0	0	0	10	0	0	0	100	0	0	0
163	1	0	Equip_163	Silvermoon_Bow	0	45	375	0	0	184	0	0	0	0	0	4	0	12	0	0	0	0	0	3
164	1	0	Equip_164	Freezing_Sword	0	45	375	0	188	0	0	0	0	5	0	0	12	0	0	0	0	3	0	0
165	1	1	Equip_165	Silvermoon_Helmet	0	45	375	0	0	0	18	0	0	9	0	9	0	0	0	0	0	5	0	5
166	1	2	Equip_166	Silvermoon_Armor	0	45	375	0	11	0	25	1	0	0	0	0	18	0	0	0	0	0	0	0
167	1	3	Equip_167	Silvermoon_Boots	0	45	375	0	20	0	0	0	510	0	0	0	9	0	0	0	95	0	0	0
168	1	0	Equip_168	Rune_Scimitar	0	47	400	0	198	0	0	0	0	0	5	0	12	0	0	0	0	0	3	0
169	1	0	Equip_169	Staff_of_Salvation	0	47	400	0	0	198	0	0	0	0	0	5	0	12	0	0	0	0	0	3
170	1	1	Equip_170	Rune_Helmet	0	47	400	0	0	0	0	20	0	0	10	10	0	0	0	1	0	0	5	5
171	1	2	Equip_171	Rune_Armor	0	47	400	0	0	12	2	26	0	0	0	0	0	19	0	0	0	0	0	0
172	1	3	Equip_172	Rune_Boots	0	47	400	0	0	21	0	0	530	0	0	0	0	10	0	0	100	0	0	0
173	1	0	Equip_173	Crescent_Axe	0	49	400	0	205	0	0	2	0	6	0	0	13	0	0	0	0	3	0	0
174	1	0	Equip_174	Moonlight_Staff	0	49	400	0	0	210	0	0	0	0	0	6	0	13	0	0	0	0	0	3
175	1	1	Equip_175	Monthsteel_Helmet	0	49	400	0	0	0	22	0	0	11	11	0	0	0	0	0	0	6	6	0
176	1	2	Equip_176	Monthsteel_Armor	0	49	400	0	13	0	27	3	0	0	0	0	20	0	0	0	0	0	0	0
177	1	3	Equip_177	Monthsteel_Boots	0	49	400	0	22	0	0	0	550	0	0	0	11	0	0	0	105	0	0	0
178	3	0	Equip_178	Abyss_Staff	14	50	425	0	0	232	0	0	0	0	0	8	0	13	0	0	0	0	0	4
179	3	0	Equip_179	Deep_Cold_Sword	15	50	425	0	232	0	0	0	0	6	0	0	16	0	0	0	0	3	0	0
180	3	0	Equip_180	Tremor_Bow	16	50	425	0	229	229	0	0	0	0	0	8	13	13	0	0	0	0	0	4
181	3	0	Equip_181	Nightmare_Axe	17	50	425	0	225	0	0	3	0	0	8	0	13	0	0	0	0	0	4	0
182	3	1	Equip_182	Abyss_Helmet	14	50	425	0	0	0	30	0	0	0	15	15	0	0	1	0	0	0	7	7
183	3	1	Equip_183	Deep_Cold_Helmet	15	50	425	0	0	0	0	30	0	15	15	0	0	0	0	1	0	7	7	0
184	3	1	Equip_184	Tremor_Helmet	16	50	425	0	0	0	30	0	0	15	0	15	0	0	1	0	0	7	0	7
185	3	1	Equip_185	Nightmare_Helmet	17	50	425	0	0	0	0	30	0	15	0	15	0	0	0	1	0	7	0	7
186	3	2	Equip_186	Abyss_Armor	14	50	425	0	0	0	31	7	0	0	0	0	0	0	7	2	0	0	0	0
187	3	2	Equip_187	Deep_Cold_Armor	15	50	425	0	0	0	7	31	0	0	0	0	0	0	2	7	0	0	0	0
188	3	2	Equip_188	Tremor_Armor	16	50	425	0	0	0	31	7	0	0	0	0	0	0	7	2	0	0	0	0
189	3	2	Equip_189	Nightmare_Armor	17	50	425	0	0	0	7	31	0	0	0	0	0	0	2	7	0	0	0	0
190	3	3	Equip_190	Abyss_Boots	14	50	425	0	26	0	0	0	620	0	0	0	12	0	0	0	110	0	0	0
191	3	3	Equip_191	Deep_Cold_Boots	15	50	425	0	0	26	0	0	620	0	0	0	0	12	0	0	110	0	0	0
192	3	3	Equip_192	Tremor_Boots	16	50	425	0	26	0	0	0	620	0	0	0	12	0	0	0	110	0	0	0
193	3	3	Equip_193	Nightmare_Boots	17	50	425	0	0	26	0	0	620	0	0	0	0	12	0	0	110	0	0	0
194	2	0	Equip_194	Conqueror_Hammer	0	51	450	0	212	0	3	0	0	0	6	0	17	0	0	0	0	0	3	0
195	2	0	Equip_195	Dragon_Head_Axe	0	51	450	0	214	0	0	3	0	7	0	0	15	0	0	0	0	4	0	0
196	2	1	Equip_196	Conquest_Helmet	0	51	450	0	0	0	0	24	0	12	0	12	0	0	0	1	0	6	0	6
197	2	2	Equip_197	Conquest_Armor	0	51	450	0	0	14	28	4	0	0	0	0	0	23	0	0	0	0	0	0
198	2	3	Equip_198	Conquest_Boots	0	51	450	0	0	23	0	0	570	0	0	0	0	13	0	0	120	0	0	0
199	2	0	Equip_199	Goddess_of_Tears_Staff	0	53	450	0	0	232	0	0	0	0	0	7	0	17	0	0	0	0	0	4
200	2	0	Equip_200	Oath_Hammer	0	53	450	0	223	0	3	0	0	0	7	0	17	0	0	0	0	0	4	0
201	2	1	Equip_201	Relic_Helmet	0	53	450	0	0	0	26	0	0	13	13	0	0	0	1	0	0	7	7	0
202	2	2	Equip_202	Relic_Armor	0	53	450	0	15	0	5	29	0	0	0	0	23	0	0	0	0	0	0	0
203	2	3	Equip_203	Relic_Boots	0	53	450	0	24	0	0	0	590	0	0	0	14	0	0	0	135	0	0	0
204	3	0	Equip_204	Infinity_Blade	18	54	475	0	267	0	0	0	0	11	0	0	17	0	0	0	0	6	0	0
205	3	0	Equip_205	Eternal_Staff	19	54	475	0	0	267	0	0	0	0	0	11	0	17	0	0	0	0	0	6
206	3	0	Equip_206	Hammer_of_Rebirth	20	54	475	0	259	0	4	0	0	0	11	0	17	0	0	0	0	0	6	0
207	3	0	Equip_207	Ancient_Tomahawk	21	54	475	0	261	0	0	4	0	11	0	0	17	0	0	0	0	6	0	0
208	3	1	Equip_208	Infinity_Helmet	18	54	475	0	0	0	36	0	0	0	18	18	0	0	1	0	0	0	9	9
209	3	1	Equip_209	Eternal_Helmet	19	54	475	0	0	0	0	36	0	18	18	0	0	0	0	1	0	9	9	0
210	3	1	Equip_210	Helmet_of_Rebirth	20	54	475	0	0	0	36	0	0	18	0	18	0	0	1	0	0	9	0	9
211	3	1	Equip_211	Ancient_Helmet	21	54	475	0	0	0	0	36	0	18	18	0	0	0	0	1	0	9	9	0
212	3	2	Equip_212	Infinity_Armor	18	54	475	0	20	0	34	10	0	0	0	0	25	0	0	0	0	0	0	0
213	3	2	Equip_213	Eternal_Armor	19	54	475	0	0	20	10	34	0	0	0	0	0	25	0	0	0	0	0	0
214	3	2	Equip_214	Armor_of_Rebirth	20	54	475	0	20	0	34	10	0	0	0	0	25	0	0	0	0	0	0	0
215	3	2	Equip_215	Ancient_Armor	21	54	475	0	0	20	10	34	0	0	0	0	0	25	0	0	0	0	0	0
216	3	3	Equip_216	Infinity_Boots	18	54	475	0	29	0	0	0	690	0	0	0	15	0	0	0	160	0	0	0
217	3	3	Equip_217	Eternal_Boots	19	54	475	0	0	29	0	0	690	0	0	0	0	15	0	0	160	0	0	0
218	3	3	Equip_218	Boots_of_Rebirth	20	54	475	0	29	0	0	0	690	0	0	0	15	0	0	0	160	0	0	0
219	3	3	Equip_219	Ancient_Boots	21	54	475	0	0	29	0	0	690	0	0	0	0	15	0	0	160	0	0	0
